         87054601 function calls (85851824 primitive calls) in 16.283 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5096    0.001    0.000    0.001    0.000 _parser.py:247(match)
      314    0.001    0.000    0.007    0.000 overrides.py:170(decorator)
      760    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
      670    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
       28    0.001    0.000    0.001    0.000 inspect.py:867(cleandoc)
     5137    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
1572/1469    0.001    0.000    0.019    0.000 typing.py:357(inner)
      788    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
     1643    0.001    0.000    0.001    0.000 memtypes.py:560(set_max_size)
      469    0.001    0.000    0.003    0.000 tac_cfg.py:214(__init__)
      284    0.001    0.000    0.004    0.000 overrides.py:88(verify_matching_signatures)
      231    0.001    0.000    0.009    0.000 typing.py:652(Union)
      760    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      819    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
     1361    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
       59    0.001    0.000    0.006    0.000 enum.py:466(__new__)
     3298    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1028(__enter__)
      194    0.001    0.000    0.001    0.000 inspect.py:2962(__init__)
     6246    0.001    0.000    0.001    0.000 op.py:101(<listcomp>)
     3298    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1032(__exit__)
   1827/8    0.001    0.000    0.389    0.049 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      291    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      825    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:169(__enter__)
      670    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
      468    0.001    0.000    0.004    0.000 evm_cfg.py:48(split)
        1    0.001    0.001    0.003    0.003 series.py:216(Series)
     5730    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1139    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
   489/41    0.001    0.000    0.290    0.007 {built-in method builtins.__import__}
      314    0.001    0.000    0.003    0.000 function_base.py:475(add_newdoc)
        4    0.001    0.000    0.008    0.002 network.py:287(_receive_data_on_socket)
     1263    0.001    0.000    0.003    0.000 tac_cfg.py:850(<listcomp>)
     1430    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:392(cached)
     1478    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
     2680    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        2    0.001    0.000    0.001    0.000 {built-in method bson._cbson._decode_all}
        1    0.001    0.001    0.001    0.001 _polybase.py:18(ABCPolyBase)
      317    0.001    0.000    0.001    0.000 __init__.py:163(match)
     3623    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      555    0.001    0.000    0.002    0.000 typing.py:245(_collect_parameters)
     3358    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      168    0.001    0.000    0.001    0.000 enum.py:897(<lambda>)
      759    0.001    0.000    0.001    0.000 enum.py:809(__setattr__)
     1319    0.001    0.000    0.001    0.000 memtypes.py:299(EXP)
      819    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
     2910    0.001    0.000    0.001    0.000 _parser.py:158(__len__)
